Ranking,Title,Release Date,World Sales
133,Indiana Jones and the Raiders of the Lost Ark (1981),6/12/1981,389925971
134,Toy Story 2 (1999),11/19/1999,497375381
135,Transformers: Age of Extinction (2014),6/25/2014,1104054072
136,Cars (2006),6/8/2006,461991867
137,Ghostbusters (1984),6/8/1984,296578797
145,Brave (2012),6/21/2012,538983207
148,War of the Worlds (2005),6/29/2005,603873119
149,Fantastic Beasts and Where to Find Them (2016),11/16/2016,814044001
151,Cast Away (2000),12/22/2000,429632142
158,Signs (2002),8/2/2002,408247917
159,Hancock (2008),7/2/2008,629443428
160,The Bourne Ultimatum (2007),8/3/2007,444100035
162,Rush Hour 2 (2001),8/3/2001,347325802
165,WALL·E (2008),6/26/2008,521311890
167,Mission: Impossible - Fallout (2018),7/25/2018,791657398
169,Alvin and the Chipmunks: The Squeakquel (2009),12/21/2009,443140005
170,Mrs. Doubtfire (1993),11/24/1993,441286195
171,Beauty and the Beast (1991),11/15/1991,424967620
172,Ted (2012),6/29/2012,549368315
173,King Kong (2005),12/14/2005,556906378
174,Ghost (1990),7/13/1990,505703557
177,Aladdin (1992),11/13/1992,504050219
178,Alvin and the Chipmunks (2007),12/12/2007,365352546
179,Saving Private Ryan (1998),7/24/1998,482349603
182,Madagascar 3: Europe's Most Wanted (2012),6/6/2012,746921274
183,Kung Fu Panda (2008),6/5/2008,631746197
190,Austin Powers in Goldmember (2002),7/26/2002,296938801
193,Back to the Future (1985),7/3/1985,381906762
197,Mission: Impossible - Ghost Protocol (2011),12/14/2011,694713380
198,Wedding Crashers (2005),7/14/2005,288467645
199,Sherlock Holmes (2009),1/1/2009,524028679
200,Dawn of the Planet of the Apes (2014),7/9/2014,710644566
201,Batman Begins (2005),6/15/2005,373661946
202,Charlie and the Chocolate Factory (2005),7/14/2005,474968763
203,Ratatouille (2007),6/28/2007,623726085
205,Bad Boys for Life (2020),1/15/2020,426505244
206,Austin Powers: The Spy Who Shagged Me (1999),6/11/1999,312016928
207,Terminator 2: Judgment Day (1991),7/3/1991,520881154
209,World War Z (2013),6/19/2013,540455876
211,Armageddon (1998),7/1/1998,553709788
213,Ralph Breaks the Internet (2018),11/21/2018,529323962
214,Tangled (2010),11/24/2010,592462816
216,Superman Returns (2006),6/28/2006,391081192
220,Happy Feet (2006),11/17/2006,384336108
222,Ice Age: Dawn of the Dinosaurs (2009),6/29/2009,886686817
224,Mission: Impossible - Rogue Nation (2015),7/24/2015,682716636
225,Twilight (2008),11/20/2008,408430415
226,Men in Black II (2002),7/3/2002,445135288
228,22 Jump Street (2014),6/5/2014,331333876
229,Cars 2 (2011),6/22/2011,559852396
230,Teenage Mutant Ninja Turtles (2014),8/7/2014,485004754
231,Spider-Man: Into the Spider-Verse (2018),12/12/2018,375540831
232,Grease (1978),6/16/1978,396271103
233,Dunkirk (2017),7/19/2017,527016307
234,Wreck-It Ralph (2012),11/1/2012,471222889
236,Interstellar (2014),11/5/2014,701729206
237,The Polar Express (2004),11/10/2004,314215454
242,Mr. & Mrs. Smith (2005),6/8/2005,487287646
245,Dances with Wolves (1990),11/9/1990,424208848
246,Batman Forever (1995),6/16/1995,336567158
249,The Revenant (2015),12/25/2015,532950503
250,Ocean's Eleven (2001),12/7/2001,450717150
251,The Simpsons Movie (2007),7/25/2007,536414293
252,What Women Want (2000),12/15/2000,374111707
253,The Perfect Storm (2000),6/30/2000,328718434
254,Lincoln (2012),11/9/2012,275293450
256,Jurassic Park III (2001),7/5/2001,368780809
259,Ant-Man (2015),7/10/2015,519311965
260,Planet of the Apes (2001),7/27/2001,362211740
269,Tootsie (1982),12/17/1982,177200000
270,How to Train Your Dragon 2 (2014),6/5/2014,621537519
271,Rise of the Planet of the Apes (2011),8/3/2011,481800873
272,Captain America: The First Avenger (2011),7/22/2011,370569774
273,Elf (2003),11/7/2003,223853736
274,The Karate Kid (2010),6/10/2010,359126022
275,There's Something About Mary (1998),7/15/1998,369884651
277,The Bourne Supremacy (2004),7/23/2004,290835269
281,Crazy Rich Asians (2018),8/15/2018,238539198
282,The Greatest Showman (2017),12/20/2017,436949634
283,Fast & Furious Presents: Hobbs & Shaw (2019),7/1/2019,759056935
286,National Treasure (2004),11/19/2004,347512318
288,Air Force One (1997),7/25/1997,315156409
289,Rain Man (1988),12/16/1988,354825435
291,TRON: Legacy (2010),12/16/2010,400063852
292,Mary Poppins Returns (2018),12/19/2018,349546142
294,True Grit (2010),12/22/2010,252276927
295,Tarzan (1999),6/16/1999,448191819
297,A Beautiful Mind (2001),12/21/2001,316791257
299,The Help (2011),8/10/2011,216639112
301,Hidden Figures (2016),12/25/2016,235956898
306,Three Men and a Baby (1987),11/25/1987,167780960
308,Hotel Transylvania 3: Summer Vacation (2018),6/28/2018,528583774
309,Casino Royale (2006),11/15/2006,616502912
312,2012 (2009),11/11/2009,791217826
313,Robin Hood: Prince of Thieves (1991),6/14/1991,390493908
314,Knives Out (2019),11/21/2019,311605581
318,Catch Me If You Can (2002),12/25/2002,352114312
319,The Proposal (2009),6/17/2009,317375031
320,The Pursuit of Happyness (2006),12/15/2006,307127625
321,Big Daddy (1999),6/25/1999,234801895
323,The SpongeBob Movie: Sponge Out of Water (2015),1/28/2015,325186032
324,Batman Returns (1992),6/19/1992,266892996
325,Django Unchained (2012),12/25/2012,426074373
326,A Bug's Life (1998),11/20/1998,363258859
327,Jason Bourne (2016),7/27/2016,415484914
328,Grown Ups (2010),6/24/2010,271457301
329,The Waterboy (1998),11/6/1998,185991646
330,Ice Age: Continental Drift (2012),6/27/2012,877244782
331,Straight Outta Compton (2015),8/14/2015,201634991
332,Die Another Day (2002),11/20/2002,431971116
334,How to Train Your Dragon: The Hidden World (2019),1/3/2019,524389083
340,1917 (2019),12/25/2019,384919389
342,Star Trek Beyond (2016),7/20/2016,343471816
345,X-Men (2000),7/13/2000,296339528
346,Scary Movie (2000),7/7/2000,278019771
347,Who Framed Roger Rabbit (1988),6/24/1988,329803958
348,What Lies Beneath (2000),7/21/2000,291420351
355,Fantastic Four (2005),7/6/2005,333535934
358,Jerry Maguire (1996),12/13/1996,273552592
360,Scooby-Doo (2002),6/14/2002,275650703
363,Runaway Bride (1999),7/30/1999,309460292
364,La La Land (2016),12/7/2016,448906865
366,We're the Millers (2013),8/29/2012,269994119
367,Terminator 3: Rise of the Machines (2003),7/2/2003,433371112
369,G.I. Joe: The Rise of Cobra (2009),8/5/2009,302469017
371,American Hustle (2013),12/12/2013,251171807
374,Les Misérables (2012),12/19/2012,442299309
375,Knocked Up (2007),6/1/2007,219922417
376,As Good as It Gets (1997),12/23/1997,314178011
377,Little Fockers (2010),12/22/2010,310650585
380,Talladega Nights: The Ballad of Ricky Bobby (2006),8/4/2006,163362095
381,Gran Torino (2008),12/12/2008,269958228
383,War for the Planet of the Apes (2017),7/11/2017,490719763
384,X-Men: First Class (2011),6/1/2011,352616690
385,Paul Blart: Mall Cop (2009),1/16/2009,183348429
386,True Lies (1994),7/15/1994,378882411
387,Lilo & Stitch (2002),6/21/2002,273144151
388,The Santa Clause (1994),11/11/1994,190539357
389,The Meg (2018),8/8/2018,530438278
390,American Pie 2 (2001),8/10/2001,287553595
393,"I, Robot (2004)",7/15/2004,353133898
395,The Fast and the Furious (2001),6/22/2001,207305509
396,Mamma Mia! (2008),6/27/2008,611257819
400,Kung Fu Panda 3 (2016),1/28/2016,521170825
401,Juno (2007),12/5/2007,232372681
403,The Smurfs (2011),7/27/2011,563749323
404,Once Upon a Time... In Hollywood (2019),7/25/2019,374565754
405,xXx (2002),8/9/2002,277448382
408,A Few Good Men (1992),12/11/1992,243240178
409,Slumdog Millionaire (2008),11/12/2008,378410542
411,The Blair Witch Project (1999),7/16/1999,248639099
414,Ocean's Eight (2018),6/7/2018,297718711
415,Rush Hour 3 (2007),8/8/2007,258097122
416,Stuart Little (1999),12/17/1999,300135367
419,The Matrix Revolutions (2003),11/5/2003,427344325
420,The Santa Clause 2 (2002),11/1/2002,172855065
421,The King's Speech (2010),11/26/2010,427374317
422,Cheaper by the Dozen (2003),12/25/2003,190538630
423,Bad Boys II (2003),7/18/2003,273339556
424,Platoon (1986),12/19/1986,138545632
427,Split (2016),1/18/2017,278454417
431,The Conjuring (2013),7/18/2013,320290989
432,Click (2006),6/22/2006,240685326
433,The Green Mile (1999),12/10/1999,286801374
438,Chicken Little (2005),11/4/2005,314432837
440,Patch Adams (1998),12/25/1998,202292902
442,Ride Along (2014),1/17/2014,154468902
443,The Incredible Hulk (2008),6/11/2008,264770996
444,Live Free or Die Hard (2007),6/26/2007,388156011
445,Wanted (2008),6/26/2008,342463063
447,Superman (1978),12/15/1978,300451603
448,The Rock (1996),6/7/1996,335062621
