Ranking,Title,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $)
229,Cars 2 (2011),6/22/2011,"$191,452,396.00 ","$368,400,000.00 ","$559,852,396.00 "
230,Teenage Mutant Ninja Turtles (2014),8/7/2014,"$191,204,754.00 ","$293,800,000.00 ","$485,004,754.00 "
231,Spider-Man: Into the Spider-Verse (2018),12/12/2018,"$190,241,310.00 ","$185,299,521.00 ","$375,540,831.00 "
232,Grease (1978),6/16/1978,"$190,071,103.00 ","$206,200,000.00 ","$396,271,103.00 "
233,Dunkirk (2017),7/19/2017,"$189,740,665.00 ","$337,275,642.00 ","$527,016,307.00 "
234,Wreck-It Ralph (2012),11/1/2012,"$189,422,889.00 ","$281,800,000.00 ","$471,222,889.00 "
236,Interstellar (2014),11/5/2014,"$188,020,017.00 ","$513,709,189.00 ","$701,729,206.00 "
237,The Polar Express (2004),11/10/2004,"$187,935,490.00 ","$126,279,964.00 ","$314,215,454.00 "
242,Mr. & Mrs. Smith (2005),6/8/2005,"$186,336,279.00 ","$300,951,367.00 ","$487,287,646.00 "
245,Dances with Wolves (1990),11/9/1990,"$184,208,848.00 ","$240,000,000.00 ","$424,208,848.00 "
246,Batman Forever (1995),6/16/1995,"$184,069,126.00 ","$152,498,032.00 ","$336,567,158.00 "
249,The Revenant (2015),12/25/2015,"$183,637,894.00 ","$349,312,609.00 ","$532,950,503.00 "
250,Ocean's Eleven (2001),12/7/2001,"$183,417,150.00 ","$267,300,000.00 ","$450,717,150.00 "
251,The Simpsons Movie (2007),7/25/2007,"$183,135,014.00 ","$353,279,279.00 ","$536,414,293.00 "
252,What Women Want (2000),12/15/2000,"$182,811,707.00 ","$191,300,000.00 ","$374,111,707.00 "
253,The Perfect Storm (2000),6/30/2000,"$182,618,434.00 ","$146,100,000.00 ","$328,718,434.00 "
254,Lincoln (2012),11/9/2012,"$182,207,973.00 ","$93,085,477.00 ","$275,293,450.00 "
256,Jurassic Park III (2001),7/5/2001,"$181,171,875.00 ","$187,608,934.00 ","$368,780,809.00 "
259,Ant-Man (2015),7/10/2015,"$180,202,163.00 ","$339,109,802.00 ","$519,311,965.00 "
260,Planet of the Apes (2001),7/27/2001,"$180,011,740.00 ","$182,200,000.00 ","$362,211,740.00 "
269,Tootsie (1982),12/17/1982,"$177,200,000.00 ","$177,200,000.00 ","$177,200,000.00 "
270,How to Train Your Dragon 2 (2014),6/5/2014,"$177,002,924.00 ","$444,534,595.00 ","$621,537,519.00 "
271,Rise of the Planet of the Apes (2011),8/3/2011,"$176,760,185.00 ","$305,040,688.00 ","$481,800,873.00 "
272,Captain America: The First Avenger (2011),7/22/2011,"$176,654,505.00 ","$193,915,269.00 ","$370,569,774.00 "
273,Elf (2003),11/7/2003,"$176,630,408.00 ","$47,223,328.00 ","$223,853,736.00 "
274,The Karate Kid (2010),6/10/2010,"$176,591,618.00 ","$182,534,404.00 ","$359,126,022.00 "
275,There's Something About Mary (1998),7/15/1998,"$176,484,651.00 ","$193,400,000.00 ","$369,884,651.00 "
277,The Bourne Supremacy (2004),7/23/2004,"$176,241,941.00 ","$114,593,328.00 ","$290,835,269.00 "
281,Crazy Rich Asians (2018),8/15/2018,"$174,532,921.00 ","$64,006,277.00 ","$238,539,198.00 "
282,The Greatest Showman (2017),12/20/2017,"$174,340,174.00 ","$262,609,460.00 ","$436,949,634.00 "
283,Fast & Furious Presents: Hobbs & Shaw (2019),7/1/2019,"$173,956,935.00 ","$585,100,000.00 ","$759,056,935.00 "
286,National Treasure (2004),11/19/2004,"$173,008,894.00 ","$174,503,424.00 ","$347,512,318.00 "
288,Air Force One (1997),7/25/1997,"$172,956,409.00 ","$142,200,000.00 ","$315,156,409.00 "
289,Rain Man (1988),12/16/1988,"$172,825,435.00 ","$182,000,000.00 ","$354,825,435.00 "
291,TRON: Legacy (2010),12/16/2010,"$172,062,763.00 ","$228,001,089.00 ","$400,063,852.00 "
292,Mary Poppins Returns (2018),12/19/2018,"$171,958,438.00 ","$177,587,704.00 ","$349,546,142.00 "
294,True Grit (2010),12/22/2010,"$171,243,005.00 ","$81,033,922.00 ","$252,276,927.00 "
295,Tarzan (1999),6/16/1999,"$171,091,819.00 ","$277,100,000.00 ","$448,191,819.00 "
297,A Beautiful Mind (2001),12/21/2001,"$170,742,341.00 ","$146,048,916.00 ","$316,791,257.00 "
299,The Help (2011),8/10/2011,"$169,708,112.00 ","$46,931,000.00 ","$216,639,112.00 "
301,Hidden Figures (2016),12/25/2016,"$169,607,287.00 ","$66,349,611.00 ","$235,956,898.00 "
306,Three Men and a Baby (1987),11/25/1987,"$167,780,960.00 ","$167,780,960.00 ","$167,780,960.00 "
